	Gene_ID	Gene_name	Query	Gene_score
1868	54805	CNNM2	0	-13.6147
1869	5788	PTPRC	0	-13.6333
1870	28960	DCPS	0	-13.6913
1871	22845	DOLK	0	-13.6922
1872	406960	MIR184	0	-13.7125
1873	1950	EGF	0	-13.7227
1874	1767	DNAH5	0	-13.7314
1875	2672	GFI1	0	-13.7762
1876	7306	TYRP1	0	-13.7816
1877	8710	SERPINB7	0	-13.8039
1878	2978	GUCA1A	0	-13.8424
1879	79791	FBXO31	0	-13.8465
1880	51621	KLF13	0	-13.8575
1881	84433	CARD11	0	-13.8638
1882	3035	HARS	0	-13.9265
1883	1718	DHCR24	1	-13.9303
1884	1414	CRYBB1	0	-13.9719
1885	916	CD3E	0	-13.9901
1886	5063	PAK3	0	-13.9939
1887	84733	CBX2	0	-14.0286
1888	169522	KCNV2	0	-14.0711
1889	1528	CYB5A	1	-14.0765
1890	6204	RPS10	0	-14.1072
1891	25861	WHRN	0	-14.1265
1892	889	KRIT1	0	-14.1302
1893	55214	P3H2	0	-14.1478
1894	90411	MCFD2	0	-14.1486
1895	1063	CENPF	0	-14.168
1896	4838	NODAL	0	-14.1907
1897	4868	NPHS1	0	-14.1917
1898	26022	TMEM98	0	-14.2067
1899	3105	HLA-A	0	-14.2361
1900	1147	CHUK	0	-14.2526
1901	5978	REST	0	-14.2955
1902	2057	EPOR	0	-14.3139
1903	64170	CARD9	0	-14.3761
1904	81545	FBXO38	0	-14.3875
1905	5373	PMM2	0	-14.3963
1906	2322	FLT3	0	-14.4035
1907	8021	NUP214	0	-14.4035
1908	7471	WNT1	0	-14.5205
1909	338328	GPIHBP1	0	-14.529
1910	6443	SGCB	0	-14.5542
1911	7053	TGM3	0	-14.5684
1912	178	AGL	0	-14.5848
1913	11155	LDB3	0	-14.599
1914	580	BARD1	0	-14.6165
1915	5892	RAD51D	0	-14.6165
1916	330	BIRC3	0	-14.7587
1917	6049	RNF6	0	-14.7751
1918	60495	HPSE2	0	-14.83
1919	1420	CRYGC	0	-14.8464
1920	726	CAPN5	0	-14.8789
1921	7252	TSHB	0	-14.8834
1922	93210	PGAP3	0	-14.893
1923	925	CD8A	0	-14.9258
1924	26503	SLC17A5	0	-14.947
1925	6640	SNTA1	0	-14.9893
1926	4653	MYOC	0	-15.0192
1927	374393	FAM111B	0	-15.0215
1928	1759	DNM1	0	-15.0304
1929	2784	GNB3	0	-15.0345
1930	26504	CNNM4	0	-15.0387
1931	79083	MLPH	0	-15.0835
1932	9187	SLC24A1	0	-15.0899
1933	6011	GRK1	0	-15.0899
1934	646960	PRSS56	0	-15.1278
1935	79001	VKORC1	0	-15.1317
1936	83999	KREMEN1	0	-15.1436
1937	5649	RELN	0	-15.1942
1938	54916	TMEM260	0	-15.2382
1939	25939	SAMHD1	0	-15.2573
1940	1804	DPP6	0	-15.2607
1941	284654	RSPO1	0	-15.2647
1942	6622	SNCA	0	-15.3038
1943	51132	RLIM	0	-15.3519
1944	10008	KCNE3	0	-15.4214
1945	10111	RAD50	0	-15.4397
1946	9992	KCNE2	0	-15.4481
1947	3912	LAMB1	0	-15.4558
1948	117144	CATSPER1	0	-15.4598
1949	29887	SNX10	0	-15.4667
1950	4323	MMP14	0	-15.468
1951	659	BMPR2	0	-15.4696
1952	6338	SCNN1B	0	-15.4753
1953	57082	KNL1	0	-15.4832
1954	345193	LRIT3	0	-15.4841
1955	9895	TECPR2	0	-15.5098
1956	8557	TCAP	0	-15.5635
1957	3293	HSD17B3	0	-15.5755
1958	2556	GABRA3	0	-15.587
1959	100134444	KCNJ18	0	-15.587
1960	284403	WDR62	0	-15.59
1961	6491	STIL	0	-15.5925
1962	10126	DNAL4	0	-15.6064
1963	93627	TBCK	0	-15.7326
1964	9333	TGM5	0	-15.7535
1965	6875	TAF4B	0	-15.7765
1966	84225	ZMYND15	0	-15.7765
1967	3718	JAK3	0	-15.803
1968	939	CD27	0	-15.8508
1969	5328	PLAU	0	-15.8686
1970	3290	HSD11B1	0	-15.8827
1971	25923	ATL3	0	-15.9149
1972	4040	LRP6	0	-16.0175
1973	5575	PRKAR1B	0	-16.0421
1974	22999	RIMS1	0	-16.0534
1975	6201	RPS7	0	-16.0821
1976	1021	CDK6	0	-16.0883
1977	8913	CACNA1G	0	-16.0891
1978	404672	GTF2H5	0	-16.1069
1979	51702	PADI3	0	-16.1078
1980	2562	GABRB3	0	-16.1187
1981	9423	NTN1	0	-16.1419
1982	859	CAV3	0	-16.1567
1983	7138	TNNT1	0	-16.1619
1984	80185	TTI2	0	-16.2233
1985	25	ABL1	0	-16.2452
1986	10747	MASP2	0	-16.2653
1987	1811	SLC26A3	0	-16.2726
1988	22891	ZNF365	0	-16.2756
1989	7841	MOGS	0	-16.2809
1990	9949	AMMECR1	0	-16.2813
1991	340665	CYP26C1	0	-16.2826
1992	4361	MRE11	0	-16.284
1993	359	AQP2	0	-16.2938
1994	3891	KRT85	0	-16.3169
1995	11133	KPTN	0	-16.3172
1996	10472	ZBTB18	0	-16.3276
1997	90121	TSR2	0	-16.3883
1998	440435	GPR179	0	-16.3901
1999	57526	PCDH19	0	-16.4037
2000	2779	GNAT1	0	-16.4313
2001	55640	FLVCR2	0	-16.4379
2002	7372	UMPS	0	-16.4507
2003	6138	RPL15	0	-16.4585
2004	10717	AP4B1	0	-16.4633
2005	5352	PLOD2	0	-16.51
2006	51199	NIN	0	-16.5365
2007	3166	HMX1	0	-16.5433
2008	1500	CTNND1	0	-16.545
2009	1968	EIF2S3	0	-16.5632
2010	79955	PDZD7	0	-16.5713
2011	6229	RPS24	0	-16.5833
2012	1906	EDN1	0	-16.6449
2013	26610	ELP4	0	-16.6893
2014	64919	BCL11B	0	-16.7028
2015	3483	IGFALS	0	-16.714
2016	27151	CPAMD8	0	-16.7226
2017	4507	MTAP	0	-16.74
2018	51594	NBAS	0	-16.8186
2019	7292	TNFSF4	0	-16.844
2020	5032	P2RY11	0	-16.844
2021	1512	CTSH	0	-16.844
2022	4620	MYH2	0	-16.8593
2023	8799	PEX11B	1	-16.8646
2024	79977	GRHL2	0	-16.8667
2025	269	AMHR2	0	-16.8858
2026	268	AMH	0	-16.8858
2027	9562	MINPP1	0	-16.9355
2028	5950	RBP4	0	-16.9635
2029	657	BMPR1A	0	-17.0483
2030	57152	SLURP1	0	-17.0492
2031	3149	HMGB3	0	-17.1014
2032	5972	REN	0	-17.128
